,0
355780,554.0
178837,571.0
12391,623.0
373282,556.0
219425,558.0
94880,556.0
285957,568.0
10263,544.0
464824,636.0
33049,544.0
444981,480.0
316073,581.0
93103,561.0
395082,659.0
17118,506.0
295488,566.0
371004,583.0
158886,558.0
167956,578.0
194837,474.0
93886,542.0
7024,519.0
441243,524.0
17251,457.0
154666,511.0
185208,562.0
262015,506.0
303989,515.0
73551,543.0
297410,563.0
172565,570.0
180096,538.0
55549,544.0
321645,503.0
406112,492.0
405373,470.0
272745,558.0
451865,493.0
51089,646.0
316556,486.0
101646,572.0
390978,497.0
21502,524.0
21539,521.0
309049,583.0
459407,464.0
234737,550.0
92206,576.0
175162,494.0
333079,553.0
193718,552.0
159526,546.0
147549,595.0
98276,596.0
58285,601.0
412765,542.0
313957,503.0
400280,542.0
457260,620.0
65493,559.0
152358,496.0
116283,493.0
106013,541.0
163198,589.0
107320,525.0
236172,585.0
90728,538.0
114541,505.0
110966,494.0
91850,563.0
380443,551.0
203285,482.0
93976,484.0
393033,561.0
218906,541.0
400660,618.0
8592,609.0
334261,525.0
462207,514.0
139566,527.0
182631,497.0
341211,629.0
172442,574.0
246778,575.0
115953,548.0
172465,489.0
119,548.0
61120,633.0
187509,491.0
213750,543.0
81990,499.0
141316,583.0
85614,561.0
269661,585.0
203926,523.0
285505,632.0
47593,514.0
188947,532.0
186878,557.0
101953,620.0
97325,621.0
72653,571.0
99291,615.0
111028,589.0
190485,477.0
392366,567.0
57768,505.0
464920,594.0
37381,515.0
402650,572.0
180771,615.0
406724,639.0
134460,556.0
194661,518.0
266169,568.0
80087,556.0
344433,497.0
419386,570.0
129434,493.0
241569,539.0
262058,556.0
7881,503.0
414086,602.0
381846,517.0
246837,591.0
41946,467.0
39684,531.0
350522,528.0
298744,535.0
103300,549.0
356738,540.0
55092,553.0
352375,569.0
199529,546.0
272551,590.0
120847,608.0
350469,519.0
384520,587.0
231271,639.0
365457,581.0
35288,566.0
444916,617.0
327584,579.0
449360,650.0
272353,584.0
162332,512.0
18727,528.0
364543,533.0
141650,488.0
451968,549.0
92205,569.0
390934,549.0
114607,520.0
343273,624.0
30630,520.0
25344,526.0
5766,488.0
18411,545.0
335227,542.0
211906,487.0
118823,559.0
299281,556.0
155171,628.0
403489,625.0
425654,504.0
320829,607.0
435948,440.0
155183,556.0
247902,620.0
414283,532.0
230172,584.0
291306,660.0
408481,509.0
317247,597.0
87638,520.0
243585,540.0
314486,561.0
284760,562.0
39087,480.0
64837,538.0
356790,532.0
461642,538.0
60101,580.0
222711,530.0
371539,562.0
440613,583.0
90538,510.0
4006,506.0
170129,608.0
96763,562.0
331395,533.0
134031,599.0
128300,638.0
123869,505.0
152131,549.0
204392,540.0
401712,508.0
42680,541.0
3556,486.0
238,554.0
232047,589.0
392357,538.0
410129,567.0
165059,605.0
407690,488.0
376005,504.0
372923,529.0
30614,526.0
411627,549.0
451322,484.0
536,560.0
315177,580.0
213813,490.0
280247,542.0
281317,637.0
36062,531.0
210357,474.0
173646,541.0
334417,591.0
189100,513.0
16729,543.0
113141,535.0
324903,538.0
10910,497.0
419773,591.0
278919,540.0
184329,546.0
444780,547.0
383348,536.0
314218,468.0
348875,591.0
431458,552.0
353299,517.0
96180,490.0
317683,508.0
22104,568.0
291755,544.0
396616,583.0
351349,544.0
364093,658.0
366046,572.0
63469,508.0
110834,654.0
308673,547.0
363655,594.0
178678,599.0
94266,606.0
412455,605.0
60913,575.0
350847,592.0
262506,571.0
122409,559.0
351768,544.0
157793,469.0
308073,517.0
369909,548.0
67530,601.0
117515,410.0
420751,609.0
155477,551.0
163578,522.0
46014,549.0
150747,554.0
2883,481.0
237371,561.0
93148,591.0
395167,553.0
188661,539.0
398847,502.0
91269,428.0
238320,542.0
394050,593.0
321421,496.0
44711,592.0
230040,545.0
160871,507.0
146493,606.0
311928,635.0
206373,518.0
387886,576.0
386612,561.0
87849,529.0
162998,524.0
110404,608.0
28267,490.0
292197,465.0
297476,643.0
130767,572.0
456633,570.0
27437,570.0
70459,514.0
19465,541.0
181609,494.0
232520,496.0
347693,525.0
385586,565.0
348728,597.0
51785,533.0
465504,524.0
350792,559.0
455080,578.0
94866,572.0
49757,519.0
250882,547.0
33350,546.0
257567,575.0
138812,474.0
264799,562.0
7037,564.0
300485,567.0
261009,560.0
220994,504.0
216760,612.0
137431,589.0
45804,622.0
311499,527.0
214358,472.0
363155,564.0
346868,612.0
229159,556.0
460983,491.0
368608,551.0
269135,600.0
165708,513.0
283783,587.0
207913,531.0
337895,573.0
314807,656.0
447813,584.0
366265,587.0
336333,608.0
227404,555.0
104195,490.0
115110,598.0
368314,585.0
182822,487.0
228947,584.0
322370,576.0
25963,482.0
266192,534.0
237126,546.0
84316,485.0
296494,541.0
168243,561.0
57903,550.0
88824,492.0
352776,583.0
456038,554.0
230120,558.0
336584,601.0
87067,514.0
377501,569.0
331246,570.0
313278,508.0
301420,598.0
260043,594.0
201549,556.0
271520,479.0
406819,562.0
40401,513.0
259170,569.0
150561,499.0
351265,539.0
262145,503.0
455364,498.0
252234,576.0
219121,535.0
365599,521.0
52403,614.0
102946,584.0
197844,538.0
376412,514.0
302043,509.0
194506,549.0
254567,533.0
68878,536.0
49455,501.0
87671,544.0
422594,564.0
226949,604.0
465935,595.0
102963,523.0
431933,626.0
335524,549.0
54795,566.0
64217,629.0
350369,502.0
464037,563.0
48200,629.0
405210,585.0
42804,506.0
249580,623.0
434639,495.0
390373,606.0
14940,489.0
412098,407.0
16320,587.0
177740,539.0
385283,599.0
199888,574.0
364517,567.0
56069,595.0
364397,542.0
286820,612.0
43410,523.0
135762,470.0
147010,541.0
126636,599.0
280847,517.0
96400,494.0
246804,520.0
71689,514.0
29988,554.0
281213,624.0
104086,463.0
360956,550.0
57428,603.0
233775,581.0
216567,522.0
384383,501.0
417716,540.0
381316,549.0
127699,539.0
182233,544.0
125978,587.0
403472,617.0
425467,568.0
74345,483.0
277479,550.0
438592,541.0
84961,561.0
334073,497.0
112720,635.0
72007,578.0
29037,522.0
54705,538.0
380750,596.0
272096,592.0
463483,560.0
454683,534.0
71655,610.0
407730,543.0
59665,606.0
34910,539.0
267457,566.0
147803,499.0
324957,558.0
145459,509.0
378707,512.0
430707,582.0
358417,555.0
336656,557.0
283928,546.0
253904,485.0
293986,568.0
166525,531.0
295763,567.0
417149,587.0
385594,566.0
99640,632.0
171308,600.0
49048,493.0
269029,506.0
307081,543.0
11348,523.0
433307,568.0
370222,617.0
381380,556.0
370809,497.0
270776,509.0
441909,600.0
165321,521.0
330433,525.0
206706,515.0
206372,519.0
227621,486.0
466039,595.0
445201,549.0
357009,560.0
252384,537.0
231824,512.0
147044,505.0
212117,485.0
413013,547.0
454744,621.0
264526,554.0
300233,568.0
